Configuración,Valor Predeterminado,Enlace
Usar el modo de aprobación de administrador,Sí,https://go.microsoft.com/fwlink/?linkid=2067186
Virtualice los errores de escritura de archivos y registro en ubicaciones por usuario,Sí,https://go.microsoft.com/fwlink/?linkid=2067321
Impedir que Adobe Reader cree procesos secundarios,Habilitar,https://go.microsoft.com/fwlink/?linkid=853979
Bloquear el inicio de aplicaciones de comunicación de Office en un proceso secundario,Habilitar,https://go.microsoft.com/fwlink/?linkid=874499
Escriba la frecuencia (0-24 horas) para comprobar si hay actualizaciones de inteligencia de seguridad.,4,https://go.microsoft.com/fwlink/?linkid=2113936
Tipo de examen,examen rápido,https://go.microsoft.com/fwlink/?linkid=2114045
Día de examen de programación de Defender,todos los días,Sin enlace
Hora de inicio del examen de Defender,no configurado,Sin enlace
Nivel de protección entregado en la nube,no configurado,https://go.microsoft.com/fwlink/?linkid=2113942
Examinar archivos de red,Sí,https://go.microsoft.com/fwlink/?linkid=2114049
Activar la protección en tiempo real,Sí,https://go.microsoft.com/fwlink/?linkid=2114050
Examen de scripts que se usan en exploradores de Microsoft,Sí,https://go.microsoft.com/fwlink/?linkid=2114054
Examinar archivos de archivo,Sí,https://go.microsoft.com/fwlink/?linkid=2114047
Activar la supervisión del comportamiento,Sí,https://go.microsoft.com/fwlink/?linkid=2114048
Active la protección entregada en la nube,Sí,https://go.microsoft.com/fwlink/?linkid=2113937
Examinar los mensajes de correo entrantes,Sí,https://go.microsoft.com/fwlink/?linkid=2114052
Examinar las unidades extraíbles durante un examen completo,Sí,https://go.microsoft.com/fwlink/?linkid=2113946
Impedir que las aplicaciones de Office inserten código en otros procesos,Bloquear,https://go.microsoft.com/fwlink/?linkid=2113946
Impedir que las aplicaciones de Office creen contenido ejecutable,Bloquear,https://go.microsoft.com/fwlink/?linkid=872975
Impedir que todas las aplicaciones de Office creen procesos secundarios,Bloquear,https://go.microsoft.com/fwlink/?linkid=872976
Bloquear llamadas API win32 desde la macro de Office,Bloquear,https://go.microsoft.com/fwlink/?linkid=872977
Bloquear la ejecución de scripts potencialmente ofuscados (js/vbs/ps):,Bloquear,https://go.microsoft.com/fwlink/?linkid=872978
Impedir que JavaScript o VBScript inicien contenido ejecutable descargado,Bloquear,https://go.microsoft.com/fwlink/?linkid=872979
Bloquear la descarga de contenido ejecutable de clientes de correo electrónico y correo web,Bloquear,https://go.microsoft.com/fwlink/?linkid=872980
Bloquear el robo de credenciales del subsistema de autoridad de seguridad local (lsass.exe) de Windows,Habilitar,https://go.microsoft.com/fwlink/?linkid=874499
Acción de aplicación potencialmente no deseada de Defender,Bloquear,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-defender?WT.mc_id=Portal-Microsoft_Intune_Workflows#defender-puaprotection
Bloquee los procesos que no son de confianza y no firmados que se ejecutan desde USB,Bloquear,https://go.microsoft.com/fwlink/?linkid=874502
Habilitación de la protección de red,Habilitar,https://go.microsoft.com/fwlink/?linkid=872618
Tipo de consentimiento de envío de ejemplo de Defender,enviar muestras seguras automáticamente,https://go.microsoft.com/fwlink/?linkid=2067131
Impedir que Adobe Reader cree procesos secundarios,Habilitar,https://go.microsoft.com/fwlink/?linkid=853979
Bloquear el inicio de aplicaciones de comunicación de Office en un proceso secundario,Habilitar,https://go.microsoft.com/fwlink/?linkid=874499
Escriba la frecuencia (0-24 horas) para comprobar si hay actualizaciones de inteligencia de seguridad.,4,https://go.microsoft.com/fwlink/?linkid=2113936
Tipo de examen,examen rápido,https://go.microsoft.com/fwlink/?linkid=2114045
Día de examen de programación de Defender,todos los días,Sin enlace
Nivel de protección entregado en la nube,no configurado,https://go.microsoft.com/fwlink/?linkid=2113942
Examinar archivos de red,Sí,https://go.microsoft.com/fwlink/?linkid=2114049
Activar la protección en tiempo real,Sí,https://go.microsoft.com/fwlink/?linkid=2114050
Examen de scripts que se usan en exploradores de Microsoft,Sí,https://go.microsoft.com/fwlink/?linkid=2114054
Examinar archivos de archivo,Sí,https://go.microsoft.com/fwlink/?linkid=2114047
Activar la supervisión del comportamiento,Sí,https://go.microsoft.com/fwlink/?linkid=2114048
Active la protección entregada en la nube,Sí,https://go.microsoft.com/fwlink/?linkid=2113937
Examinar los mensajes de correo entrantes,Sí,https://go.microsoft.com/fwlink/?linkid=2114052
Examinar las unidades extraíbles durante un examen completo,Sí,https://go.microsoft.com/fwlink/?linkid=2113946
Impedir que las aplicaciones de Office inserten código en otros procesos,Bloquear,https://go.microsoft.com/fwlink/?linkid=2113946
Impedir que las aplicaciones de Office creen contenido ejecutable,Bloquear,https://go.microsoft.com/fwlink/?linkid=872975
Impedir que todas las aplicaciones de Office creen procesos secundarios,Bloquear,https://go.microsoft.com/fwlink/?linkid=872976
Bloquear llamadas API win32 desde la macro de Office,Bloquear,https://go.microsoft.com/fwlink/?linkid=872977
Bloquear la ejecución de scripts potencialmente ofuscados (js/vbs/ps):,Bloquear,https://go.microsoft.com/fwlink/?linkid=872978
Impedir que JavaScript o VBScript inicien contenido ejecutable descargado,Bloquear,https://go.microsoft.com/fwlink/?linkid=872979
Bloquear la descarga de contenido ejecutable de clientes de correo electrónico y correo web,Bloquear,https://go.microsoft.com/fwlink/?linkid=872980
Bloquear el robo de credenciales del subsistema de autoridad de seguridad local (lsass.exe) de Windows,Habilitar,https://go.microsoft.com/fwlink/?linkid=874499
Acción de aplicación potencialmente no deseada de Defender,Bloquear,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-defender?WT.mc_id=Portal-Microsoft_Intune_Workflows#defender-puaprotection
Bloquee los procesos que no son de confianza y no firmados que se ejecutan desde USB,Bloquear,https://go.microsoft.com/fwlink/?linkid=874502
Habilitación de la protección de red,Habilitar,https://go.microsoft.com/fwlink/?linkid=872618
Tipo de consentimiento de envío de ejemplo de Defender,enviar muestras seguras automáticamente,https://go.microsoft.com/fwlink/?linkid=2067131
Configuración de inicio del controlador de cliente SMB v1,controlador deshabilitado,https://go.microsoft.com/fwlink/?linkid=2067214
Aplique restricciones de UAC a las cuentas locales en el inicio de sesión de red,habilitado,https://go.microsoft.com/fwlink/?linkid=2067188
Protección de sobrescritura del control estructurado de excepciones,habilitado,https://go.microsoft.com/fwlink/?linkid=2067217
Servidor SMB v1,deshabilitado,https://go.microsoft.com/fwlink/?linkid=2067190
Autenticación implícita,deshabilitado,https://go.microsoft.com/fwlink/?linkid=2067193
Nivel de protección de enrutamiento de origen IPv6 de red,protección más alta,https://go.microsoft.com/fwlink/?linkid=2067216
Nivel de protección de enrutamiento de origen ip de red,protección más alta,https://go.microsoft.com/fwlink/?linkid=2067220
"La red omite las solicitudes de versión de nombre netBIOS, excepto los servidores WINS",habilitado,https://go.microsoft.com/fwlink/?linkid=2067218
Los redireccionamientos ICMP de red invalidan las rutas generadas por OSPF,deshabilitado,https://go.microsoft.com/fwlink/?linkid=2067326
Requerir contraseña al activar la batería,habilitado,https://go.microsoft.com/fwlink/?linkid=2067322
Requerir contraseña al reactivar mientras está conectado,habilitado,https://go.microsoft.com/fwlink/?linkid=2067221
Estados de espera al dormir mientras está en batería,deshabilitado,https://go.microsoft.com/fwlink/?linkid=2067195
Estados de espera al dormir mientras está conectado,deshabilitado,https://go.microsoft.com/fwlink/?linkid=2067196
Asistencia remota solicitada,Deshabilitar asistencia remota,https://go.microsoft.com/fwlink/?linkid=2067198
Nivel de cifrado de conexión de cliente de servicios de Escritorio remoto,Alto,https://go.microsoft.com/fwlink/?linkid=2067222
Bloquear el redireccionamiento de la unidad,habilitado,Sin enlace
Bloquear el guardado de contraseñas,habilitado,https://go.microsoft.com/fwlink/?linkid=2067301
Solicitar contraseña tras la conexión,habilitado,https://go.microsoft.com/fwlink/?linkid=2067328
Comunicación RPC segura,habilitado,https://go.microsoft.com/fwlink/?linkid=2067248
Bloquear la autenticación implícita de cliente,habilitado,https://go.microsoft.com/fwlink/?linkid=2067302
Bloquear el almacenamiento de la ejecución como credenciales,habilitado,https://go.microsoft.com/fwlink/?linkid=2067300
Autenticación básica de cliente,deshabilitado,https://go.microsoft.com/fwlink/?linkid=2067252
Autenticación básica,deshabilitado,https://go.microsoft.com/fwlink/?linkid=2067223
Tráfico de cliente sin cifrar,deshabilitado,https://go.microsoft.com/fwlink/?linkid=2067304
Tráfico sin cifrar,deshabilitado,https://go.microsoft.com/fwlink/?linkid=2067226
Opciones de cliente rpc no autenticadas,autenticado,https://go.microsoft.com/fwlink/?linkid=2067225
Deshabilitar la indexación de elementos cifrados,Sí,https://go.microsoft.com/fwlink/?linkid=2067303
Activar Windows SmartScreen,Sí,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-smartscreen#smartscreen-enablesmartscreeninshell
Impedir que los usuarios ignoren las advertencias de SmartScreen,Sí,https://go.microsoft.com/fwlink/?linkid=872783
Inicialización del controlador de inicio del sistema,bueno desconocido y crítico,https://go.microsoft.com/fwlink/?linkid=2067307
Bloquear La conexión automática a zonas activas de Wi-Fi,Sí,https://go.microsoft.com/fwlink/?linkid=2067320
Bloquear el uso compartido de Internet,Sí,https://go.microsoft.com/fwlink/?linkid=2067327
Bloquear la conexión a redes que no son de dominio,habilitado,https://go.microsoft.com/fwlink/?linkid=2067323
Área de trabajo de Ink,habilitado,https://go.microsoft.com/fwlink/?linkid=2067241
Registro de bloques de script de PowerShell,habilitado,https://go.microsoft.com/fwlink/?linkid=2067330
Sin configuración,Sin valor predeterminado,https://learn.microsoft.com/security-baselines
Sin configuración,Sin valor predeterminado,https://learn.microsoft.com/security-baselines#avoid-conflicts
Sin configuración,Sin valor predeterminado,https://learn.microsoft.com/es-es/troubleshoot/mem/intune/troubleshoot-policies-in-microsoft-intune
Sin configuración,Sin valor predeterminado,Sin enlace
Sin configuración,Sin valor predeterminado,Sin enlace
Sin configuración,Sin valor predeterminado,Sin enlace
Sin configuración,Sin valor predeterminado,Sin enlace
Sin configuración,Sin valor predeterminado,https://learn.microsoft.com/es-es/previous-versions/
Sin configuración,Sin valor predeterminado,https://techcommunity.microsoft.com/t5/microsoft-learn-blog/bg-p/MicrosoftLearnBlog
Sin configuración,Sin valor predeterminado,https://learn.microsoft.com/es-es/contribute/
Sin configuración,Sin valor predeterminado,https://go.microsoft.com/fwlink/?LinkId=521839
Sin configuración,Sin valor predeterminado,https://learn.microsoft.com/es-es/legal/termsofuse
Sin configuración,Sin valor predeterminado,https://www.microsoft.com/legal/intellectualproperty/Trademarks/
Sin configuración,Sin valor predeterminado,Sin enlace
Sin configuración,Sin valor predeterminado,Sin enlace
Sin configuración,Sin valor predeterminado,Sin enlace
Sin configuración,Sin valor predeterminado,Sin enlace
Sin configuración,Sin valor predeterminado,Sin enlace
Sin configuración,Sin valor predeterminado,https://learn.microsoft.com/es-es/previous-versions/
Sin configuración,Sin valor predeterminado,https://techcommunity.microsoft.com/t5/microsoft-learn-blog/bg-p/MicrosoftLearnBlog
Sin configuración,Sin valor predeterminado,https://learn.microsoft.com/es-es/contribute/
Sin configuración,Sin valor predeterminado,https://go.microsoft.com/fwlink/?LinkId=521839
Sin configuración,Sin valor predeterminado,https://learn.microsoft.com/es-es/legal/termsofuse
Sin configuración,Sin valor predeterminado,https://www.microsoft.com/legal/intellectualproperty/Trademarks/
Sin configuración,Sin valor predeterminado,Sin enlace
